代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),总股本(股),市盈率,市净率,市销率,市现率
600511.SH,国药股份,2022-1-4,31.53,31.91,32.28,31.69,31.82,16251716,520238894,0.29,0.9198,32.0113,2.937,17607483211.68,--,24008285396.36,754502998,14.2947,1.948,0.5167,22.0564
600511.SH,国药股份,2022-1-5,31.82,31.79,31.79,31.19,31.4,9218517,289281013,-0.42,-1.3199,31.3804,1.666,17375077713.6,--,23691394137.2,754502998,14.1061,1.9223,0.5098,21.7652
600511.SH,国药股份,2022-1-6,31.4,31.33,31.59,31,31.53,6172978,193372057,0.13,0.414,31.3256,1.1156,17447012748.72,--,23789479526.94,754502998,14.1645,1.9302,0.5119,21.8553
600511.SH,国药股份,2022-1-7,31.53,31.58,32.48,31.57,32.11,15186336,488140283,0.58,1.8395,32.1434,2.7445,17767953674.64,--,24227091265.78,754502998,14.425,1.9657,0.5214,22.2574
600511.SH,国药股份,2022-1-10,32.11,32.13,32.38,31.84,32.02,6781846,217129828,-0.09,-0.2803,32.0163,1.2256,17718152496.48,--,24159185995.96,754502998,14.3846,1.9602,0.5199,22.195
600511.SH,国药股份,2022-1-11,32.02,32.08,32.48,31.85,32.13,8449286,272105231,0.11,0.3435,32.2045,1.5269,17779020603.12,--,24242181325.74,754502998,14.434,1.967,0.5217,22.2712
600511.SH,国药股份,2022-1-12,32.13,32.13,32.38,31.79,31.89,8073002,258797006,-0.24,-0.747,32.0571,1.4589,17646217461.36,--,24061100606.22,754502998,14.3262,1.9523,0.5178,22.1049
600511.SH,国药股份,2022-1-13,31.89,31.87,32,31.34,31.37,6914759,218381887,-0.52,-1.6306,31.582,1.2496,17358477320.88,--,23668759047.26,754502998,14.0926,1.9204,0.5093,21.7444
600511.SH,国药股份,2022-1-14,31.37,31.27,31.85,31.27,31.65,6655150,210134800,0.28,0.8926,31.5748,1.2027,17513414319.6,--,23880019886.7,754502998,14.2184,1.9376,0.5139,21.9385
600511.SH,国药股份,2022-1-17,31.65,31.64,31.82,31.28,31.34,5908127,185766087,-0.31,-0.9795,31.4425,1.0677,17341876928.16,--,23646123957.32,754502998,14.0791,1.9186,0.5089,21.7236
600511.SH,国药股份,2022-1-18,31.34,31.34,31.35,30.42,30.57,7883794,242109239,-0.77,-2.4569,30.7097,1.4247,16915800181.68,--,23065156648.86,754502998,13.7332,1.8715,0.4964,21.1899
600511.SH,国药股份,2022-1-19,30.57,30.69,30.69,30.19,30.3,5169453,157013585,-0.27,-0.8832,30.3733,0.9342,16766396647.2,--,22861440839.4,754502998,13.6119,1.8549,0.492,21.0028
600511.SH,国药股份,2022-1-20,30.3,30.33,30.68,30.06,30.22,5466488,165569615,-0.08,-0.264,30.2881,0.9879,16722128933.28,--,22801080599.56,754502998,13.576,1.85,0.4907,20.9473
600511.SH,国药股份,2022-1-21,30.22,30.17,30.23,29.13,29.31,9615060,283198270,-0.91,-3.0113,29.4536,1.7376,16218583687.44,--,22114482871.38,754502998,13.1671,1.7943,0.4759,20.3165
600511.SH,国药股份,2022-1-24,29.31,29.18,29.2,28.88,29,5218292,151423646,-0.31,-1.0577,29.0179,0.943,16047046296,--,21880586942,754502998,13.0279,1.7753,0.4709,20.1016
600511.SH,国药股份,2022-1-25,29,28.97,29.11,28.03,28.09,6325821,180054060,-0.91,-3.1379,28.4634,1.1432,15543501050.16,--,21193989213.82,754502998,12.6191,1.7196,0.4561,19.4709
600511.SH,国药股份,2022-1-26,28.09,28.09,28.5,27.91,28.25,4666009,131245894,0.16,0.5696,28.1281,0.8432,15632036478,--,21314709693.5,754502998,12.691,1.7294,0.4587,19.5818
600511.SH,国药股份,2022-1-27,28.25,28.26,28.3,27.81,27.81,4642811,129943132,-0.44,-1.5575,27.988,0.839,15388564051.44,--,20982728374.38,754502998,12.4933,1.7025,0.4515,19.2768
600511.SH,国药股份,2022-1-28,27.81,28.2,28.23,27.83,27.95,3227191,90507807,0.14,0.5034,28.0454,0.5832,15466032550.8,--,21088358794.1,754502998,12.5562,1.7111,0.4538,19.3738
600511.SH,国药股份,2022-2-7,27.95,28.05,28.51,28.05,28.35,3461615,98088929,0.4,1.4311,28.3362,0.6256,15687371120.4,--,21390159993.3,754502998,12.7359,1.7355,0.4603,19.6511
600511.SH,国药股份,2022-2-8,28.35,28.25,28.56,28.16,28.54,2945887,83785556,0.19,0.6702,28.4415,0.5324,15792506940.96,--,21533515562.92,754502998,12.8212,1.7472,0.4634,19.7828
600511.SH,国药股份,2022-2-9,28.54,28.6,28.94,28.51,28.82,3243237,93383755,0.28,0.9811,28.7934,0.5861,15947443939.68,--,21744776402.36,754502998,12.947,1.7643,0.4679,19.9769
600511.SH,国药股份,2022-2-10,28.82,28.83,29.06,28.68,28.87,3135600,90452698,0.05,0.1735,28.847,0.5667,15975111260.88,--,21782501552.26,754502998,12.9695,1.7674,0.4688,20.0115
600511.SH,国药股份,2022-2-11,28.87,28.7,28.84,28.35,28.53,3910086,111503722,-0.34,-1.1777,28.5169,0.7066,15786973476.72,--,21525970532.94,754502998,12.8167,1.7466,0.4632,19.7759
600511.SH,国药股份,2022-2-14,28.53,28.58,28.69,28.32,28.34,2467646,70269815,-0.19,-0.666,28.4765,0.4459,15681837656.16,--,21382614963.32,754502998,12.7314,1.7349,0.4602,19.6442
600511.SH,国药股份,2022-2-15,28.34,28.5,28.56,28.31,28.5,2137104,60794006,0.16,0.5646,28.4469,0.3862,15770373084,--,21503335443,754502998,12.8033,1.7447,0.4627,19.7551
600511.SH,国药股份,2022-2-16,28.5,28.53,28.58,28.38,28.51,2173900,61903277,0.01,0.0351,28.4757,0.3929,15775906548.24,--,21510880472.98,754502998,12.8078,1.7453,0.4629,19.762
600511.SH,国药股份,2022-2-17,28.51,28.51,28.51,28.19,28.24,3277519,92718298,-0.27,-0.947,28.2892,0.5923,15626503013.76,--,21307164663.52,754502998,12.6865,1.7288,0.4585,19.5748
600511.SH,国药股份,2022-2-18,28.24,28.03,28.34,28.01,28.29,2386845,67291441,0.05,0.1771,28.1926,0.4313,15654170334.96,--,21344889813.42,754502998,12.7089,1.7319,0.4593,19.6095
600511.SH,国药股份,2022-2-21,28.29,28.3,28.64,28.29,28.6,3534200,100622240,0.31,1.0958,28.471,0.6387,15825707726.4,--,21578785742.8,754502998,12.8482,1.7509,0.4644,19.8244
600511.SH,国药股份,2022-2-22,28.6,28.45,28.46,28.13,28.17,2682329,75756472,-0.43,-1.5035,28.2428,0.4847,15587768764.08,--,21254349453.66,754502998,12.655,1.7245,0.4574,19.5263
600511.SH,国药股份,2022-2-23,28.17,28.13,28.38,28.13,28.29,2694720,76262596,0.12,0.426,28.3007,0.487,15654170334.96,--,21344889813.42,754502998,12.7089,1.7319,0.4593,19.6095
600511.SH,国药股份,2022-2-24,28.29,28.35,28.38,27.44,27.68,6144827,171535598,-0.61,-2.1562,27.9154,1.1105,15316629016.32,--,20884642984.64,754502998,12.4349,1.6945,0.4494,19.1867
