代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),总股本(股),市盈率,市净率,市销率,市现率
600022.SH,山东钢铁,2022-1-4,1.79,1.79,1.83,1.78,1.82,142885989,258154908,0.03,1.676,1.8067,1.3053,19922720301.12,--,19922720301.12,10946549616,6.6656,0.8451,0.1797,8.3359
600022.SH,山东钢铁,2022-1-5,1.82,1.82,1.82,1.78,1.79,140905166,253316754,-0.03,-1.6484,1.7978,1.2872,19594323812.64,--,19594323812.64,10946549616,6.5557,0.8312,0.1768,8.1985
600022.SH,山东钢铁,2022-1-6,1.79,1.79,1.83,1.78,1.81,158918298,288343110,0.02,1.1173,1.8144,1.4518,19813254804.96,--,19813254804.96,10946549616,6.6289,0.8405,0.1787,8.2901
600022.SH,山东钢铁,2022-1-7,1.81,1.82,1.9,1.81,1.86,298083203,556094836,0.05,2.7624,1.8656,2.7231,20360582285.76,--,20360582285.76,10946549616,6.8121,0.8637,0.1837,8.5191
600022.SH,山东钢铁,2022-1-10,1.86,1.87,1.88,1.84,1.85,155390939,287819972,-0.01,-0.5376,1.8522,1.4195,20251116789.6,--,20251116789.6,10946549616,6.7754,0.8591,0.1827,8.4733
600022.SH,山东钢铁,2022-1-11,1.85,1.85,1.89,1.84,1.87,161134971,301205075,0.02,1.0811,1.8693,1.472,20470047781.92,--,20470047781.92,10946549616,6.8487,0.8684,0.1847,8.5649
600022.SH,山东钢铁,2022-1-12,1.87,1.86,1.87,1.82,1.83,144304144,264789751,-0.04,-2.139,1.8349,1.3183,20032185797.28,--,20032185797.28,10946549616,6.7022,0.8498,0.1807,8.3817
600022.SH,山东钢铁,2022-1-13,1.83,1.84,1.86,1.83,1.84,110670643,203745385,0.01,0.5464,1.841,1.011,20141651293.44,--,20141651293.44,10946549616,6.7388,0.8544,0.1817,8.4275
600022.SH,山东钢铁,2022-1-14,1.84,1.83,1.84,1.77,1.77,158874770,285493349,-0.07,-3.8043,1.797,1.4514,19375392820.32,--,19375392820.32,10946549616,6.4824,0.8219,0.1748,8.1069
600022.SH,山东钢铁,2022-1-17,1.77,1.77,1.79,1.76,1.78,85621477,151905338,0.01,0.565,1.7741,0.7822,19484858316.48,--,19484858316.48,10946549616,6.5191,0.8266,0.1758,8.1527
600022.SH,山东钢铁,2022-1-18,1.78,1.78,1.82,1.77,1.8,123516082,221446262,0.02,1.1236,1.7929,1.1284,19703789308.8,--,19703789308.8,10946549616,6.5923,0.8359,0.1778,8.2443
