代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),总股本(股),市盈率,市净率,市销率,市现率
002594.SZ,比亚迪,2022-1-4,268.12,276,279.45,265.22,271,24466089,6673692547,2.88,1.0741,272.7732,2.1182,313020781685,--,788919713705,2911142855,241.7175,9.5659,3.65,21.865
002594.SZ,比亚迪,2022-1-5,271,264.55,266.48,251.72,253.26,30170891,7725244308,-17.74,-6.5461,256.0496,2.6121,292530048596.1,--,737276039457.3,2911142855,225.8944,8.9397,3.4111,20.4337
002594.SZ,比亚迪,2022-1-6,253.26,250,254.53,247.89,250.02,17590784,4396413606,-3.24,-1.2793,249.9271,1.5229,288787659914.7,--,727843936607.1,2911142855,223.0045,8.8254,3.3674,20.1723
002594.SZ,比亚迪,2022-1-7,250.02,251.8,252.96,245,246.5,16193355,4009535493,-3.52,-1.4079,247.6038,1.402,284721854927.5,--,717596713757.5,2911142855,219.8648,8.7011,3.32,19.8883
002594.SZ,比亚迪,2022-1-10,246.5,245,249.47,239.03,246.3,16214182,3964485468,-0.2,-0.0811,244.5073,1.4038,284490843280.5,--,717014485186.5,2911142855,219.6864,8.6941,3.3173,19.8722
002594.SZ,比亚迪,2022-1-11,246.3,246.28,246.28,237.8,239.09,21244147,5100240704,-7.21,-2.9273,240.0775,1.8392,276162873406.15,--,696025145201.95,2911142855,213.2555,8.4396,3.2202,19.2904
002594.SZ,比亚迪,2022-1-12,239.09,246,256,244.31,256,32360224,8103336076,16.91,7.0727,250.4104,2.8016,295694908160,--,745252570880,2911142855,228.3383,9.0365,3.448,20.6548
002594.SZ,比亚迪,2022-1-13,256,257.74,258.56,248.61,255.31,21710390,5516666113,-0.69,-0.2695,254.1026,1.8796,294897917977.85,--,743243882310.05,2911142855,227.7229,9.0121,3.4387,20.5991
002594.SZ,比亚迪,2022-1-14,255.31,250.8,257.3,250,253.14,14954815,3798549606,-2.17,-0.8499,254.0018,1.2947,292391441607.9,--,736926702314.7,2911142855,225.7873,8.9355,3.4095,20.424
002594.SZ,比亚迪,2022-1-17,253.14,253.02,267.49,253.02,266.49,24114466,6349270849,13.35,5.2738,263.2972,2.0877,307811469045.15,--,775790459428.95,2911142855,237.6948,9.4067,3.5893,21.5011
002594.SZ,比亚迪,2022-1-18,266.49,266.41,268.96,262.3,266.08,12505443,3325099879,-0.41,-0.1539,265.8922,1.0827,307337895168.8,--,774596890858.4,2911142855,237.3291,9.3923,3.5837,21.4681
002594.SZ,比亚迪,2022-1-19,266.08,265.95,267.88,250.31,252.97,23188180,5960665206,-13.11,-4.9271,257.0562,2.0075,292195081707.95,--,736431808029.35,2911142855,225.6357,8.9295,3.4072,20.4103
002594.SZ,比亚迪,2022-1-20,252.97,252.1,253.71,247,251.07,14998647,3759819343,-1.9,-0.7511,250.6772,1.2985,290000471061.45,--,730900636604.85,2911142855,223.941,8.8624,3.3816,20.257
002594.SZ,比亚迪,2022-1-21,251.07,251.08,255.74,246.33,250.4,11239432,2822719636,-0.67,-0.2669,251.1443,0.9731,289226582044,--,728950170892,2911142855,223.3434,8.8388,3.3725,20.203
002594.SZ,比亚迪,2022-1-24,250.4,246.08,252.88,244.27,251.4,10837686,2706367141,1,0.3994,249.7182,0.9383,290381640279,--,731861313747,2911142855,224.2353,8.8741,3.386,20.2836
002594.SZ,比亚迪,2022-1-25,251.4,248,251,240,240.31,17277223,4222848972,-11.09,-4.4113,244.4171,1.4958,277572044452.85,--,699576739485.05,2911142855,214.3437,8.4826,3.2366,19.3889
