代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率
002594.SZ,比亚迪,2022/9/15,280,280.5,266.91,269.5,15239523,4126260385,-8.83,-3.1725,270.7605,1.3084,313904000000,,784553000000,1164764604,0,2911142855,143.5098,8.1209,3.6298,21.744
002594.SZ,比亚迪,2022/9/16,268,271.45,264.36,265.98,10447636,2797971959,-3.52,-1.3061,267.8091,0.897,309804000000,,774306000000,1164764604,0,2911142855,141.6354,8.0148,3.5824,21.46
002594.SZ,比亚迪,2022/9/19,268,273.9,266.68,270.35,11094999,3006108121,4.37,1.643,270.9426,0.9526,314894000000,,787027000000,1164764604,0,2911142855,143.9624,8.1465,3.6412,21.8126
002594.SZ,比亚迪,2022/9/20,273.8,277.49,272.01,274.21,11124502,3058894059,3.86,1.4278,274.9691,0.9551,319390000000,,798264000000,1164764604,0,2911142855,146.0179,8.2628,3.6932,22.124
002594.SZ,比亚迪,2022/9/21,271.8,272.61,267,270,8375363,2258898398,-4.21,-1.5353,269.7075,0.7191,314486000000,,786009000000,1164764604,0,2911142855,143.776,8.136,3.6365,21.7843
002594.SZ,比亚迪,2022/9/22,267.49,269.38,261.3,268.55,9279950,2468839436,-1.45,-0.537,266.0402,0.7967,312798000000,,781787000000,1164764604,0,2911142855,143.0039,8.0923,3.617,21.6673
002594.SZ,比亚迪,2022/9/23,267.09,269.77,264.28,266.4,7964412,2125444095,-2.15,-0.8006,266.8677,0.6838,310293000000,,775528000000,1164764604,0,2911142855,141.859,8.0275,3.588,21.4939
002594.SZ,比亚迪,2022/9/26,266.4,276,263.58,272.95,14360640,3911414127,6.55,2.4587,272.3705,1.2329,317922000000,,794596000000,1164764604,0,2911142855,145.3469,8.2249,3.6763,22.0224
002594.SZ,比亚迪,2022/9/27,272.96,274.83,270.06,273.96,8309593,2262822665,1.01,0.37,272.3145,0.7134,319099000000,,797537000000,1164764604,0,2911142855,145.8847,8.2553,3.6899,22.1038
002594.SZ,比亚迪,2022/9/28,273,273,265.5,265.62,8562018,2293531516,-8.34,-3.0442,267.8728,0.7351,309385000000,,773258000000,1164764604,0,2911142855,141.4437,8.004,3.5775,21.4309
002594.SZ,比亚迪,2022/9/29,270,271.8,264,264.57,8835668,2355802796,-1.05,-0.3953,266.6242,0.7586,308162000000,,770201000000,1164764604,0,2911142855,140.8845,7.9723,3.5634,21.3462
002594.SZ,比亚迪,2022/9/30,263,263.55,249,252.01,21403588,5421385039,-12.56,-4.7473,253.2933,1.8376,293532000000,,733637000000,1164764604,0,2911142855,134.1963,7.5939,3.3942,20.3329
002594.SZ,比亚迪,2022/10/10,252.27,256.4,249.44,251.2,11747850,2967008054,-0.81,-0.3214,252.5575,1.0086,292589000000,,731279000000,1164764604,0,2911142855,133.765,7.5695,3.3833,20.2675
002594.SZ,比亚迪,2022/10/11,252,257.38,249.33,255.01,13282039,3370369988,3.81,1.5167,253.754,1.1403,297027000000,,742371000000,1164764604,0,2911142855,135.7938,7.6843,3.4346,20.5749
002594.SZ,比亚迪,2022/10/12,254,263.25,249.95,262.34,14487143,3708582158,7.33,2.8744,255.9913,1.2438,305564000000,,763709000000,1164764604,0,2911142855,139.6971,7.9052,3.5334,21.1663
002594.SZ,比亚迪,2022/10/13,260,263,258.08,258.18,9618660,2497932932,-4.16,-1.5857,259.6966,0.8258,300719000000,,751599000000,1164764604,0,2911142855,137.4818,7.7798,3.4773,20.8307
002594.SZ,比亚迪,2022/10/14,262.08,269.1,259.95,264.54,14569451,3854443049,6.36,2.4634,264.5565,1.2508,308127000000,,770114000000,1164764604,0,2911142855,140.8686,7.9714,3.563,21.3438
002594.SZ,比亚迪,2022/10/17,263,263,256.69,260.66,10967836,2842978645,-3.88,-1.4667,259.2105,0.9416,303608000000,,758818000000,1164764604,0,2911142855,138.8024,7.8545,3.5107,21.0308
002594.SZ,比亚迪,2022/10/18,279,279,272.5,273.67,24414179,6717206761,13.01,4.9912,275.1355,2.0961,318761000000,,796692000000,1164764604,0,2911142855,145.7303,8.2466,3.686,22.0804
002594.SZ,比亚迪,2022/10/19,273.67,276.44,266.88,267.5,13400403,3642369174,-6.17,-2.2545,271.8104,1.1505,311575000000,,778731000000,1164764604,0,2911142855,142.4448,8.0606,3.6029,21.5826
002594.SZ,比亚迪,2022/10/20,264,265.58,257.4,263.51,12841678,3355270263,-3.99,-1.4916,261.2797,1.1025,306927000000,,767115000000,1164764604,0,2911142855,140.3201,7.9404,3.5491,21.2607
002594.SZ,比亚迪,2022/10/21,263.52,270.88,262.01,266.3,10478554,2794657482,2.79,1.0588,266.7026,0.8996,310177000000,,775237000000,1164764604,0,2911142855,141.8058,8.0245,3.5867,21.4858
002594.SZ,比亚迪,2022/10/24,264.9,266.31,253.57,255.57,16741256,4324097663,-10.73,-4.0293,258.2899,1.4373,297679000000,,744001000000,1164764604,0,2911142855,136.092,7.7012,3.4422,20.6201
