代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),总股本(股),市盈率,市净率,市销率,市现率
600157.SH,永泰能源,2022-1-4,1.82,1.85,1.88,1.83,1.85,454672878,842629829,0.03,1.6484,1.8533,2.0464,41102863668.25,--,41102863668.25,22217764145,8.2168,0.9771,1.5178,81.8578
600157.SH,永泰能源,2022-1-5,1.85,1.86,1.86,1.79,1.8,350769009,636343693,-0.05,-2.7027,1.8141,1.5788,39991975461,--,39991975461,22217764145,7.9947,0.9507,1.4768,79.6454
600157.SH,永泰能源,2022-1-6,1.8,1.8,1.82,1.79,1.8,242619947,437970154,0,0,1.8052,1.092,39991975461,--,39991975461,22217764145,7.9947,0.9507,1.4768,79.6454
600157.SH,永泰能源,2022-1-7,1.8,1.8,1.82,1.79,1.8,271699229,490285629,0,0,1.8045,1.2229,39991975461,--,39991975461,22217764145,7.9947,0.9507,1.4768,79.6454
600157.SH,永泰能源,2022-1-10,1.8,1.79,1.81,1.77,1.79,236557458,422968959,-0.01,-0.5556,1.788,1.0647,39769797819.55,--,39769797819.55,22217764145,7.9503,0.9454,1.4686,79.2029
600157.SH,永泰能源,2022-1-11,1.79,1.79,1.81,1.78,1.79,186478130,334292050,0,0,1.7927,0.8393,39769797819.55,--,39769797819.55,22217764145,7.9503,0.9454,1.4686,79.2029
600157.SH,永泰能源,2022-1-12,1.79,1.79,1.8,1.76,1.77,216131274,383650490,-0.02,-1.1173,1.7751,0.9728,39325442536.65,--,39325442536.65,22217764145,7.8614,0.9348,1.4522,78.318
600157.SH,永泰能源,2022-1-13,1.77,1.77,1.8,1.76,1.78,222102573,395576551,0.01,0.565,1.7811,0.9997,39547620178.1,--,39547620178.1,22217764145,7.9059,0.9401,1.4604,78.7604
600157.SH,永泰能源,2022-1-14,1.78,1.77,1.78,1.73,1.74,272159581,475313790,-0.04,-2.2472,1.7465,1.225,38658909612.3,--,38658909612.3,22217764145,7.7282,0.919,1.4276,76.9905
600157.SH,永泰能源,2022-1-17,1.74,1.74,1.75,1.72,1.74,149859660,260384618,0,0,1.7375,0.6745,38658909612.3,--,38658909612.3,22217764145,7.7282,0.919,1.4276,76.9905
600157.SH,永泰能源,2022-1-18,1.74,1.73,1.76,1.73,1.75,196899912,343430527,0.01,0.5747,1.7442,0.8862,38881087253.75,--,38881087253.75,22217764145,7.7726,0.9242,1.4358,77.433
600157.SH,永泰能源,2022-1-19,1.75,1.75,1.77,1.74,1.75,173108452,303558754,0,0,1.7536,0.7791,38881087253.75,--,38881087253.75,22217764145,7.7726,0.9242,1.4358,77.433
600157.SH,永泰能源,2022-1-20,1.75,1.74,1.75,1.71,1.74,199593466,345115283,-0.01,-0.5714,1.7291,0.8984,38658909612.3,--,38658909612.3,22217764145,7.7282,0.919,1.4276,76.9905
600157.SH,永泰能源,2022-1-21,1.74,1.73,1.74,1.72,1.74,165674535,286705637,0,0,1.7305,0.7457,38658909612.3,--,38658909612.3,22217764145,7.7282,0.919,1.4276,76.9905
600157.SH,永泰能源,2022-1-24,1.74,1.73,1.73,1.7,1.71,150308046,257821616,-0.03,-1.7241,1.7153,0.6765,37992376687.95,--,37992376687.95,22217764145,7.5949,0.9031,1.4029,75.6631
600157.SH,永泰能源,2022-1-25,1.71,1.7,1.7,1.65,1.65,231125435,386226957,-0.06,-3.5088,1.6711,1.0403,36659310839.25,--,36659310839.25,22217764145,7.3285,0.8714,1.3537,73.0083
600157.SH,永泰能源,2022-1-26,1.65,1.65,1.69,1.65,1.68,192621922,322731613,0.03,1.8182,1.6755,0.867,37325843763.6,--,37325843763.6,22217764145,7.4617,0.8873,1.3783,74.3357
600157.SH,永泰能源,2022-1-27,1.68,1.69,1.73,1.68,1.68,239768017,408214347,0,0,1.7025,1.0792,37325843763.6,--,37325843763.6,22217764145,7.4617,0.8873,1.3783,74.3357
600157.SH,永泰能源,2022-1-28,1.68,1.69,1.7,1.66,1.67,166589461,279305028,-0.01,-0.5952,1.6766,0.7498,37103666122.15,--,37103666122.15,22217764145,7.4173,0.882,1.3701,73.8932
600157.SH,永泰能源,2022-2-7,1.67,1.69,1.73,1.69,1.71,224543869,384942164,0.04,2.3952,1.7143,1.0107,37992376687.95,--,37992376687.95,22217764145,7.5949,0.9031,1.4029,75.6631
600157.SH,永泰能源,2022-2-8,1.71,1.72,1.8,1.72,1.79,412932163,728625498,0.08,4.6784,1.7645,1.8586,39769797819.55,--,39769797819.55,22217764145,7.9503,0.9454,1.4686,79.2029
600157.SH,永泰能源,2022-2-9,1.79,1.78,1.82,1.77,1.82,392697965,706978228,0.03,1.676,1.8003,1.7675,40436330743.9,--,40436330743.9,22217764145,8.0835,0.9612,1.4932,80.5303
600157.SH,永泰能源,2022-2-10,1.82,1.8,1.83,1.78,1.82,322090767,582107720,0,0,1.8073,1.4497,40436330743.9,--,40436330743.9,22217764145,8.0835,0.9612,1.4932,80.5303
600157.SH,永泰能源,2022-2-11,1.82,1.81,1.83,1.79,1.8,230263341,416156055,-0.02,-1.0989,1.8073,1.0364,39991975461,--,39991975461,22217764145,7.9947,0.9507,1.4768,79.6454
600157.SH,永泰能源,2022-2-14,1.8,1.79,1.8,1.76,1.77,215602277,383885067,-0.03,-1.6667,1.7805,0.9704,39325442536.65,--,39325442536.65,22217764145,7.8614,0.9348,1.4522,78.318
600157.SH,永泰能源,2022-2-15,1.77,1.77,1.78,1.74,1.76,173900818,306054850,-0.01,-0.565,1.7599,0.7827,39103264895.2,--,39103264895.2,22217764145,7.817,0.9295,1.444,77.8755
600157.SH,永泰能源,2022-2-16,1.76,1.77,1.79,1.76,1.78,170643605,303081250,0.02,1.1364,1.7761,0.7681,39547620178.1,--,39547620178.1,22217764145,7.9059,0.9401,1.4604,78.7604
600157.SH,永泰能源,2022-2-17,1.78,1.78,1.79,1.76,1.77,167443639,297585608,-0.01,-0.5618,1.7772,0.7536,39325442536.65,--,39325442536.65,22217764145,7.8614,0.9348,1.4522,78.318
600157.SH,永泰能源,2022-2-18,1.77,1.77,1.81,1.76,1.8,247171470,443200258,0.03,1.6949,1.7931,1.1125,39991975461,--,39991975461,22217764145,7.9947,0.9507,1.4768,79.6454
600157.SH,永泰能源,2022-2-21,1.8,1.81,1.83,1.79,1.82,272136776,492989691,0.02,1.1111,1.8116,1.2249,40436330743.9,--,40436330743.9,22217764145,8.0835,0.9612,1.4932,80.5303
600157.SH,永泰能源,2022-2-22,1.82,1.82,1.83,1.78,1.8,214012700,386518626,-0.02,-1.0989,1.8061,0.9633,39991975461,--,39991975461,22217764145,7.9947,0.9507,1.4768,79.6454
