"代码","简称","日期","前收盘价(元)","开盘价(元)","最高价(元)","最低价(元)","收盘价(元)","成交量(股)","成交金额(元)","涨跌(元)","涨跌幅(%)","均价(元)","换手率(%)","A股流通市值(元)","B股流通市值(元)","总市值(元)","总股本(股)","市盈率","市净率","市销率","市现率"
"688136.SH","科兴制药","2022-1-4","28.27","28.28","28.66","28.28","28.35","1221810","34797187","0.08","0.283","28.48","1.8816","1840915499.85","--","5633163427.5","198700650","58.0947","2.9812","4.3832","-26.371"
"688136.SH","科兴制药","2022-1-5","28.35","28.69","28.69","27.75","27.98","1018980","28570041","-0.37","-1.3051","28.0379","1.5692","1816889442.18","--","5559644187","198700650","57.3365","2.9423","4.326","-26.0269"
"688136.SH","科兴制药","2022-1-6","27.98","28.12","28.28","27.6","28.03","847379","23640833","0.05","0.1787","27.8988","1.305","1820136206.73","--","5569579219.5","198700650","57.439","2.9476","4.3337","-26.0734"
"688136.SH","科兴制药","2022-1-7","28.03","28.01","28.8","27.8","27.95","1608014","45593880","-0.08","-0.2854","28.3542","2.4763","1814941383.45","--","5553683167.5","198700650","57.275","2.9392","4.3214","-25.999"
"688136.SH","科兴制药","2022-1-10","27.95","28.13","28.75","27.6","28.61","2194483","62485601","0.66","2.3614","28.474","3.3795","1857798675.51","--","5684825596.5","198700650","58.6275","3.0086","4.4234","-26.6129"
"688136.SH","科兴制药","2022-1-11","28.61","28.72","29.94","28.35","29.43","4666435","136531167","0.82","2.8661","29.2581","7.1863","1911045614.13","--","5847760129.5","198700650","60.3078","3.0948","4.5502","-27.3756"
"688136.SH","科兴制药","2022-1-12","29.43","29.69","30.02","29.05","29.36","2983835","87873567","-0.07","-0.2379","29.4499","4.5951","1906500143.76","--","5833851084","198700650","60.1644","3.0875","4.5394","-27.3105"
"688136.SH","科兴制药","2022-1-13","29.36","29.6","29.6","28.61","28.71","2396100","69343502","-0.65","-2.2139","28.9402","3.69","1864292204.61","--","5704695661.5","198700650","58.8324","3.0191","4.4389","-26.7059"
"688136.SH","科兴制药","2022-1-14","28.71","28.88","29.77","28.6","29.57","3511946","103263761","0.86","2.9955","29.4036","5.4084","1920136554.87","--","5875578220.5","198700650","60.5947","3.1095","4.5718","-27.5059"
"688136.SH","科兴制药","2022-1-17","29.57","30.5","30.57","29.32","29.61","3061692","90976631","0.04","0.1353","29.7145","4.715","1922733966.51","--","5883526246.5","198700650","60.6767","3.1137","4.578","-27.5431"
